"","LIPNEG16JULY_03-D21_M26","LIPNEG16JULY_09-D21_M3","LIPNEG16JULY_16-D21_M10","LIPNEG16JULY_17-D21_M6","LIPNEG16JULY_21-D21_M5","LIPNEG16JULY_22-D21_M7","LIPNEG16JULY_23-D21_M21","LIPNEG16JULY_33-D21_M15","LIPNEG16JULY_35-D21_M24","LIPNEG16JULY_43-D21_M1","LIPNEG16JULY_44-D21_M2","LIPNEG16JULY_45-D21_M23","LIPNEG16JULY_47-D21_M8","LIPNEG16JULY_49-D21_M19","LIPNEG16JULY_50-D21_M22","LIPNEG16JULY_52-D21_M27","LIPNEG16JULY_54-D21_M20","LIPNEG16JULY_64-D21_M12","LIPNEG16JULY_68-D21_M18","LIPNEG16JULY_78-D21_M11","LIPNEG16JULY_80-D21_M13","LIPNEG16JULY_83-D21_M4","LIPNEG16JULY_87-D21_M25","LIPNEG16JULY_93-D21_M16","LIPNEG16JULY_07-D35_M4","LIPNEG16JULY_10-D35_M6","LIPNEG16JULY_13-D35_M2","LIPNEG16JULY_15-D35_M16","LIPNEG16JULY_18-D35_M12","LIPNEG16JULY_19-D35_M18","LIPNEG16JULY_24-D35_M1","LIPNEG16JULY_34-D35_M19","LIPNEG16JULY_36-D35_M23","LIPNEG16JULY_41-D35_M13","LIPNEG16JULY_55-D35_M22","LIPNEG16JULY_56-D35_M10","LIPNEG16JULY_57-D35_M11","LIPNEG16JULY_58-D35_M20","LIPNEG16JULY_59-D35_M3","LIPNEG16JULY_61-D35_M24","LIPNEG16JULY_66-D35_M21","LIPNEG16JULY_67-D35_M27","LIPNEG16JULY_72-D35_M26","LIPNEG16JULY_73-D35_M5","LIPNEG16JULY_82-D35_M15","LIPNEG16JULY_85-D35_M7","LIPNEG16JULY_86-D35_M25","LIPNEG16JULY_91-D35_M8","LIPNEG16JULY_02-D7_M7","LIPNEG16JULY_04-D7_M27","LIPNEG16JULY_05-D7_M23","LIPNEG16JULY_08-D7_M8","LIPNEG16JULY_11-D7_M18","LIPNEG16JULY_12-D7_M25","LIPNEG16JULY_14-D7_M16","LIPNEG16JULY_20-D7_M10","LIPNEG16JULY_25-D7_M19","LIPNEG16JULY_27-D7_M12","LIPNEG16JULY_38-D7_M21","LIPNEG16JULY_40-D7_M20","LIPNEG16JULY_42-D7_M6","LIPNEG16JULY_46-D7_M13","LIPNEG16JULY_51-D7_M11","LIPNEG16JULY_53-D7_M3","LIPNEG16JULY_60-D7_M2","LIPNEG16JULY_63-D7_M26","LIPNEG16JULY_69-D7_M24","LIPNEG16JULY_70-D7_M15","LIPNEG16JULY_74-D7_M22","LIPNEG16JULY_81-M1_D7","LIPNEG16JULY_84-D7_M4","LIPNEG16JULY_88-D7_M5","LIPNEG16JULY_01-M21","LIPNEG16JULY_06-M3","LIPNEG16JULY_26-M11","LIPNEG16JULY_28-M20","LIPNEG16JULY_29-M4","LIPNEG16JULY_30-M22","LIPNEG16JULY_31-M5","LIPNEG16JULY_32-M13","LIPNEG16JULY_37-M19","LIPNEG16JULY_39-M1","LIPNEG16JULY_48-M27","LIPNEG16JULY_62-M16","LIPNEG16JULY_65-M23","LIPNEG16JULY_71-M26","LIPNEG16JULY_75-M10","LIPNEG16JULY_76-M8","LIPNEG16JULY_77-M2","LIPNEG16JULY_79-M12","LIPNEG16JULY_89-M24","LIPNEG16JULY_90-M7","LIPNEG16JULY_92-M6","LIPNEG16JULY_94-M18"
"Label","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM"
"Cer-ADS d43:1+O; Cer-ADS d16:0/27:1+O; [M-H]-","-2.597042124"," 1.009941555"," 1.134589027","-0.309219373"," 1.441878614"," 1.462717149","-2.726235730"," 0.689738618"," 1.524609240","-1.444812924","-2.267241437"," 0.001934376","-0.619394341","-2.267241437"," 0.740999556"," 1.318256615","-1.296196304"," 1.620455194"," 0.911865684","-0.252499020","-4.158558034"," 1.245326405"," 0.962964461"," 1.140829572","-1.994762413","-3.574289654","-2.922264151"," 1.915217415"," 1.782039253"," 1.791020120"," 1.358847243"," 1.615358373"," 1.505758712","-1.296196304","-2.999775497"," 1.661185362"," 1.300623474","-1.100348856","-3.793999004"," 1.290512481"," 1.793221076"," 0.850893906"," 1.300623474"," 1.007486295"," 0.602829162"," 1.439637734","-0.873125746","-2.109562134","-0.959534278","-3.395452616","-1.029501268","-2.737017037","-2.175931296","-2.125510000","-2.333122106"," 0.920167143"," 0.740999556"," 1.632260789"," 0.685018123","-1.988422745"," 1.296515470"," 1.333749630"," 0.224233691","-3.222465778","-0.234288702","-0.379677297","-0.117254224"," 0.298406887"," 1.839225611"," 0.768596690","-3.680108427","-2.922264151"," 1.770446560"," 1.016817184"," 2.445203688"," 1.505758712"," 1.965074843"," 0.733218625"," 1.615358373"," 1.647773083"," 2.167943724"," 1.571067252"," 0.463248290"," 1.389427763","-0.494714655"," 0.916256813"," 1.040278745"," 1.511717955"," 0.602829162"," 1.782039253","-1.249552138","-2.857452013"," 1.254701430","-1.054661979"
"Cer-AP t42:1+O; Cer-AP t26:1/16:0+O; [M+HCOO]-"," 0.09958041","-0.13128624"," 0.65103818"," 0.73256601"," 1.07497797","-0.90363269"," 1.01694106"," 0.59784357"," 1.18132125"," 1.51438208"," 0.75600287"," 0.96272131"," 0.19545685"," 0.81585011","-0.28935102","-0.91138955"," 0.69413599"," 0.54223474"," 0.26196198"," 0.38457619","-0.62265958","-0.01792173"," 0.79745847","-3.00717388"," 0.52583595"," 0.82421257"," 0.28745209"," 2.18686214"," 0.71796783"," 0.86207147"," 1.15867926"," 0.40741346"," 1.14362803","-0.41599238","-2.51552669","-2.89780819"," 0.41329820"," 0.40054367"," 0.21628566"," 0.86545114"," 0.18611719"," 0.25411997","-0.42104590"," 1.14362803","-3.81419005"," 1.89015892"," 0.67622165","-0.20794250","-2.59672005","-0.21945793","-2.10966941","-1.54859344","-1.50418007","-1.67358816","-0.67528525"," 1.92306496"," 1.92306496"," 1.08417715"," 0.20579705"," 1.64793990"," 0.50795405","-0.76566090"," 0.16350899","-1.07585089"," 0.61018848","-0.08325756"," 1.20331544"," 0.41035980"," 1.07497797"," 0.69073548"," 0.68414766","-0.19003900","-0.59464017","-2.33984944"," 0.41329820"," 0.44672427","-0.04243233"," 0.71139730"," 0.04314813"," 2.11200591","-0.22383222"," 0.25411997","-0.53448016","-0.53448016"," 1.84115610","-1.56397593"," 0.02225492"," 0.18611719","-5.09425528","-0.06667876","-2.32576136","-1.28507722","-2.39394364"," 0.99917959"
"Cer-AS d27:3+O; Cer-AS d15:2/12:1+O; [M-H]-"," 1.81140739"," 2.40571575","-0.89086614","-0.29236705"," 2.00751609"," 2.37071750"," 0.70659363"," 3.17367237","-0.82945527"," 1.69713322"," 1.66662483"," 0.70659363"," 0.58572954"," 3.04004777"," 3.80590219"," 0.27339788"," 0.59041735"," 0.73737789"," 0.95790015","-0.80233491"," 0.09538107"," 1.66427222","-0.44193460"," 0.70049625"," 1.53258027"," 1.59577920"," 0.92789886"," 0.10903990"," 1.22621903","-1.16367430"," 0.18132899","-0.33062198"," 1.75977354"," 1.54084467"," 0.79297094"," 1.61800714","-0.50113240"," 0.06965617"," 0.39511584"," 0.04672081","-0.09160694","-1.27473066"," 1.01262224","-1.34790417","-1.52734378","-0.58827440","-1.72261343"," 0.64955909"," 0.13804134"," 0.27339788","-0.85631276"," 0.37194517"," 1.50585636"," 1.61800714","-0.57100435"," 1.18498694"," 1.74655579","-0.12584190"," 1.59253186"," 1.20989654"," 1.95711993","-1.53479641"," 1.13508201"," 1.35884064","-1.44810650"," 2.97620273"," 0.42053119"," 0.32202146"," 1.85699663"," 3.45437024"," 0.22728827","-0.05885299","-2.36235149","-2.49752552","-1.74742044","-2.44458282","-3.02643457","-2.64407903","-1.49330866","-1.77521012","-2.71821795","-2.10254049","-2.87713903","-2.25559546","-1.72772994","-0.97405295","-1.77521012","-2.68317937","-2.64407903","-1.86030201","-3.27970099","-2.50913624","-1.30258572","-2.70452860"
"Cer-AS d33:1+O; Cer-AS d17:1/16:0+O; [M+HCOO]-","-1.44720991","-1.87053076"," 1.73945990","-0.05669998"," 2.30702117"," 2.38443237"," 2.40414679"," 1.32757559"," 1.38165044"," 0.42364608","-0.23121045","-2.75970863"," 1.88526196"," 1.84073992","-1.42029085"," 0.46829584"," 0.30561658","-3.06080288"," 0.26809792","-2.85647437","-2.21736694","-0.44098977"," 0.27335280","-0.91432607","-2.16941949","-1.19021903"," 0.73044714","-0.72012091"," 2.21242628"," 2.25962983"," 2.28055885"," 2.23989881"," 2.48410663"," 1.36926821","-0.26837489","-1.23602558","-0.92817438","-1.08415108"," 0.34110399"," 1.68909508","-0.86935833"," 1.56570163","-1.87707643"," 0.55829220"," 0.39900290"," 1.61630078"," 0.30008374","-0.70628325","-0.37129665","-2.23837680","-0.32346328","-0.39096189"," 0.55829220","-2.26263812","-2.20353167"," 1.96887777"," 2.11599128"," 2.16410865"," 1.77862611"," 0.23826907"," 1.03004591","-2.04446385","-0.66054240","-1.96639299","-0.46429359"," 0.93447353","-0.25346198","-2.57794862","-0.76053150","-2.49524490"," 0.36968085","-0.77924173","-1.66475576","-1.15162971"," 2.72482881"," 0.50915426"," 0.24548738"," 2.27158039","-0.02849232"," 4.56736576"," 0.29043893"," 0.67302827","-0.78335509","-1.73572633"," 4.35937322","-2.15390839","-0.62990734","-2.23837680","-1.42938903","-1.07951394","-0.17663478","-1.48392058","-1.42029085"," 0.23826907"
"Cer-AS d34:1+O; Cer-AS d18:1/16:0+O; [M+HCOO]-","-0.39991049","-0.82896213"," 0.82934727","-1.47721083","-0.49153893","-1.04011864","-1.23522768","-1.17731489","-1.71165953","-0.64917335","-1.34174917","-0.17695988"," 0.81836524"," 2.14803183"," 2.38153185","-1.62387864","-0.46576889"," 0.51365644"," 0.65255544"," 0.09745019","-0.69795858"," 0.75137495"," 0.64764678","-1.72788747","-0.19621558","-0.60850442"," 0.12017846","-1.78222901","-3.28004516","-1.09601632","-0.03002017"," 0.31111931"," 0.92421826","-1.61934419","-2.18231122"," 0.33099302","-1.39910268","-0.12792566","-0.09197306"," 1.63395502"," 1.81187506"," 1.92080495","-1.81082371","-0.82186115"," 1.00798582","-1.45082555","-0.74595597","-0.99774475","-2.69374719","-1.62911948","-1.74802336"," 0.49380483","-0.47228251"," 0.16189490","-1.11439257","-2.79618566","-1.32945732","-2.28851963","-0.82186115","-1.82167849"," 1.74903639","-0.24093001"," 1.98537968","-0.74595597"," 1.92588605"," 2.11940597","-2.46073468"," 0.12977184"," 1.38855622"," 1.62180655"," 0.35198765"," 0.15188302","-0.67296197","-0.93142125"," 3.48301534"," 2.28383853","-1.35382159"," 2.55935961"," 1.73831352"," 4.72683804"," 1.76509942","-2.33985765"," 1.42108610"," 1.37645678"," 4.51089476","-2.19208743"," 2.13760229"," 2.33615357","-1.83370938"," 2.91482749"," 2.51565585"," 0.21782218","-1.70269154"," 1.50819001"
"Cer-AS d35:1+O; Cer-AS d17:1/18:0+O; [M+HCOO]-"," 1.075182350"," 0.035383194","-0.640363442","-1.320479542","-0.630954698","-0.384916768","-1.693066540"," 0.072278208"," 0.485921504"," 0.040897350","-0.884937029"," 0.385430759","-1.336710169","-0.143760654","-2.052789006"," 1.478302418"," 1.504814297","-0.065642746","-0.232360759","-0.058836524"," 2.934815377"," 1.518910537"," 2.046003989"," 1.423494743"," 0.421432340","-1.018710292"," 1.193401477","-0.722299913","-1.693066540","-0.333332209","-0.640363442","-0.065642746"," 0.597116260"," 0.240436876"," 0.470846214"," 1.367812391"," 0.156320692"," 1.016065951","-0.916152485"," 1.249964959","-1.926651659"," 0.001670203","-0.027351181"," 1.868219950"," 0.342798837","-3.113959956","-3.023241065"," 0.094973694"," 0.353369081"," 0.040897350"," 2.295180097","-1.342700763"," 1.145015596"," 0.281193668","-0.354575223"," 0.465629351","-0.183513413","-2.830716480","-0.735694612","-0.740369340","-0.873942293","-0.635647782"," 0.090480054","-0.770809916","-0.052077231"," 2.007061269","-1.369759827"," 0.137606291"," 2.656146860"," 0.567546572","-0.032320555"," 1.317253001"," 1.362810935"," 1.514231454","-2.494883205","-1.471799009","-2.662635058","-2.059737368","-1.448922264","-2.059737368","-1.701019685","-0.839247963","-2.494883205"," 2.209304805"," 3.830428739"," 2.641161424","-1.080267974","-1.577541114"," 2.190102420"," 1.462062025"," 3.326073707","-0.131207729"," 1.818342867","-0.864793396"
"Cer-BS d43:1+O; Cer-BS d17:1/26:0+O; [M+HCOO]-","-0.995530255","-2.597290319"," 1.437208270"," 1.907141840"," 1.603011337"," 1.444425382"," 1.748759219"," 1.518705838"," 1.799763276","-2.824620499","-1.329457941","-1.762720199"," 1.546588747"," 0.903497239"," 0.970684312","-2.957999179"," 0.116187945"," 1.143640058"," 0.640642254"," 0.957772179"," 1.283309191","-0.740766364","-2.753456399","-1.178535192","-0.323087064","-2.477571203","-2.692129771"," 1.311907659"," 1.574466531"," 1.415719245"," 1.165736994"," 1.421875438"," 1.670673133"," 0.355145956"," 0.935871802"," 1.353093325","-2.782554623"," 0.821113490","-1.681409427"," 0.799867157"," 1.285977260"," 0.492089107","-1.209420674","-1.565422319"," 1.006722543"," 0.941357540"," 0.545360236","-1.220267664","-0.589832340","-1.163645149"," 0.258881880"," 0.897456971"," 1.025395245","-3.735091140","-1.806876473"," 1.337373649"," 1.409793133"," 1.406385749"," 1.362867049"," 2.462674559","-2.065977796"," 1.311907659","-3.051458320","-1.289839091"," 0.676823855"," 1.237975470"," 0.404914748"," 0.747527133"," 1.792495799"," 0.308816412"," 1.301891102","-0.589832340","-0.891321131","-2.747740235"," 0.130894727","-0.094794993","-0.004633219","-0.507799732","-0.474815951"," 2.494454938","-0.461812785","-0.456444959","-1.708431747","-1.155870632"," 0.821113490","-1.695032925","-1.197333510","-0.098633598","-1.220267664","-0.577720211"," 0.295483742"," 0.570489750","-1.178535192"," 1.482048663"
"Cer-BS d44:1+O; Cer-BS d18:1/26:0+O; [M+HCOO]-","-1.1362774757","-0.5890916442"," 1.5284635103"," 1.8541864063"," 1.7788523583"," 1.9723607156"," 1.9105760808"," 1.5723920465"," 2.1398932769"," 0.8006910615","-1.2172749644"," 2.0823023189","-2.8546339973"," 1.2698057771"," 1.2924843150","-0.9750202343"," 1.1806756249"," 0.0158301518"," 1.0547190225","-1.5070031690"," 0.1788144567","-0.8310559214","-0.0266472629"," 0.3085887118","-0.2749892928","-2.2956070545","-1.3169930796"," 1.7718431887"," 1.9670966332"," 1.7134885022"," 1.4407390783"," 1.6113867583"," 2.0473494493"," 0.6865273200","-3.4666605102","-1.0841973308"," 1.0774946898","-2.7268935944","-0.4709202946"," 1.1854282877"," 1.4193273998","-2.5621334898"," 1.0774946898","-0.6821647473"," 1.1169697934"," 1.1570590742","-1.2741611539","-1.8421157685","-1.1241943619","-1.6756164766"," 0.6617493750","-0.2869103187","-0.1059839856"," 1.3956898762"," 1.2324025076"," 1.7030348279"," 1.6571767189"," 1.5829608721"," 1.5769443311"," 0.8034619691","-2.0702878000","-3.4739526168","-2.3073028454","-1.0251701485"," 1.1114648360","-1.3393279577","-0.8067415262"," 0.5734220792"," 0.8471434234","-1.1491384393","-0.2666408420","-2.0513094765","-3.0199847822","-0.3728026437"," 0.2958846420"," 0.5296760607"," 0.4928579905","-0.0008626634"," 0.0832932096"," 1.4666888562"," 0.4527319390"," 0.3988998705","-1.1699529665","-0.7547814420","-0.2129059449","-0.5183042810","-0.8106177453","-0.1876070836","-4.2567442544"," 0.3031823576","-0.3728026437"," 0.0919095010","-0.7803227734"," 0.8006910615"
"Cer-HDS d40:0+O; Cer-HDS d24:0/16:0+O; [M+HCOO]-"," 0.82920255","-3.52670118"," 0.67173279"," 0.50467847"," 0.62483579"," 0.94629065"," 0.80214334"," 0.28004710"," 0.86508126","-2.48827454"," 0.72174382"," 0.90884668"," 0.75760916"," 0.48768559"," 0.55227905"," 0.68868548","-0.54330397"," 0.40409784"," 0.46941635"," 0.62483579"," 0.89291053","-1.67886770"," 0.28734280"," 0.03630236","-4.26638640","-5.18970902"," 0.97664581"," 0.71321002"," 0.71321002"," 0.42142437","-0.03312126"," 0.28734280"," 0.96716653"," 1.13498495"," 0.82920255"," 0.64611750"," 0.67173279"," 0.43077743"," 0.12686405"," 0.94629065"," 1.02482262"," 0.46089658"," 0.62483579"," 0.33650606"," 0.39704734"," 0.51385853"," 0.58108689"," 0.46089658","-3.20165992"," 1.69755399"," 1.25474746"," 1.13498495","-2.93886605"," 1.45977841"," 1.05602996"," 0.82920255"," 0.55227905"," 0.57379378"," 0.34993057"," 0.88201981"," 0.63742691"," 0.27300214"," 0.06967215"," 0.49743714"," 0.56826200"," 0.59223384"," 0.90884668"," 0.48126763"," 0.70480324"," 0.54501799","-1.09237133","-5.97339111","-0.19402016"," 0.55227905"," 0.14121705","-0.62878741"," 0.14121705","-0.74842832","-0.65065504","-0.30268312","-0.04595919","-0.47417431","-1.47107588","-0.11051887","-1.54580258","-1.22257913","-0.86790579","-0.19402016","-1.45236291"," 1.51335962","-0.54330397","-1.03357329","-1.66290518"," 1.04435753"
"Cer-HDS d40:1+O; Cer-HDS d24:0/16:1+O; [M+HCOO]-"," 0.463066871"," 0.446282227","-2.010163195","-2.378851557"," 0.372840916"," 0.031063441","-1.677174251","-0.369916521"," 0.135983526"," 0.492175677","-2.996815381"," 0.202310305","-2.361022441","-3.666205217","-0.331105112","-0.446308455","-0.053706742","-0.376201977","-0.167848857","-0.419485086","-3.315697431"," 0.208080747","-0.390732188","-0.848256404"," 0.963605946"," 0.689079273"," 0.607907150","-4.095874598","-2.118026272"," 0.009677869","-3.163834367"," 0.154568111","-3.302692183"," 0.618425181","-0.281576229","-0.082328601","-0.212206698","-0.204507180","-0.228065837","-0.090728885"," 0.128429774","-0.520487235","-0.363771069","-0.267171290","-0.773817142","-2.306862732","-0.459707394","-0.133612322","-0.017879383"," 0.557589169"," 0.327929336"," 1.244219577"," 0.658061738"," 0.474508880"," 0.747587407","-0.228065837","-0.010049644"," 0.023708755","-0.197998778"," 0.718666463"," 0.628313429","-0.118816123","-0.290346161"," 0.009677869","-0.025440823","-0.053706742","-0.090728885","-0.010049644","-0.068583304","-0.419485086"," 0.344742482","-0.098339344"," 2.780022371"," 2.503517211"," 1.551908851"," 1.589979196"," 1.723561536"," 1.314944818"," 1.364992565"," 1.202983303"," 1.500514462"," 1.479161508"," 1.132290316"," 1.244219577"," 0.529604887"," 1.009420748"," 1.009420748"," 1.080483626"," 0.793483957"," 1.380324493"," 1.020581856"," 1.057532599"," 0.849654297"," 2.667145560"
"Cer-HS d27:3+1O; [M+HCOO]-","-0.54654909","-1.15199024"," 2.75227278"," 1.85811325","-2.46421457","-1.23665313","-0.87412628","-1.29304216"," 0.12578623"," 1.17662627"," 1.29616697"," 1.87201635"," 0.94766473"," 0.20812139"," 5.51924480","-0.09652752"," 1.64048972","-1.92275617"," 1.82044089","-0.43094559"," 1.91585438"," 0.13116383"," 0.28453464","-1.34732414"," 0.68465072"," 1.21114638"," 0.78011632"," 0.46830535","-0.27452091","-2.26516241","-1.26602061","-1.72399513","-1.29973789"," 1.77878726","-0.37169663"," 1.84799450","-1.62295164"," 0.14001880"," 1.46463951","-0.50392197","-0.17970154"," 0.60225444"," 0.04281061"," 0.90467032"," 0.52289184"," 1.27615490"," 1.40553769"," 0.67943844"," 0.72673954"," 0.85846587"," 0.12038101","-0.85885631"," 1.06734938","-0.20156973"," 0.22075209","-0.32235270"," 0.73282262"," 1.27615490"," 1.38202235"," 2.33431096","-0.92514741"," 0.84052386","-1.75373744","-0.20554949"," 1.49773461","-1.26602061","-2.38526722","-1.83814145"," 1.12866208","-0.82111491","-0.78721426","-1.81828691"," 0.36861709","-0.18513682"," 0.37597795","-0.71164731"," 0.18651727"," 0.08100013"," 0.81289149","-0.55796838"," 0.82803130"," 0.28453464","-1.70625481","-0.56868192","-1.87506461","-0.83180592","-2.21767121"," 0.10829066","-1.30567053","-1.33597353","-0.98871830","-1.72399513"," 0.33386906","-2.85987766"
"Cer-HS d41:1+O; Cer-HS d17:1/24:0+O; [M+HCOO]-","-1.135608720","-3.682084648"," 1.099132431"," 1.540167297"," 1.333629991"," 1.703674318"," 1.532772523"," 1.276379265"," 1.758394857"," 2.446691577"," 0.118350609","-0.874493997"," 1.739400849"," 1.379799542"," 1.088553115","-0.899386405"," 1.427320071"," 0.631943253"," 0.679174662"," 1.427320071"," 0.388551059"," 1.032423691"," 1.493971546","-1.631386971"," 0.722122898","-1.631386971","-2.089960651"," 1.283174370"," 1.082977736"," 1.088553115"," 1.225802824"," 1.247570130"," 1.316599122"," 0.819696724"," 0.671688921","-1.348530457"," 1.094862255","-0.975391395"," 0.645236764"," 0.799045842"," 1.025885137"," 1.019578115"," 0.579934424"," 1.105235983"," 0.279224800"," 1.225802824","-3.278811425","-1.583095407"," 0.055488194","-3.031691648"," 0.314728488"," 0.008308928","-1.353764436"," 0.860083326","-1.410348088"," 1.009491146"," 1.450809129"," 1.137398520"," 0.979680071","-1.393451375","-2.350978029"," 1.187266234"," 0.722122898"," 1.230734318"," 1.019578115"," 1.118359112"," 0.966344175","-0.931027639","-1.604535992"," 0.832284852"," 0.039354891"," 0.561142447","-1.536963753","-3.278811425"," 0.015772953","-1.647758505","-0.738500155","-0.522992937","-1.131979464"," 1.829786348","-0.156913558","-3.100112027","-1.967924649","-0.774073090"," 1.493971546","-0.833636579","-3.711893013","-1.328897839","-2.987398657","-1.139251409","-0.774073090","-0.822454807","-0.833636579"," 0.329857389"
"Cer-HS d43:1+O; Cer-HS d17:1/26:0+O; [M+HCOO]-","-1.59933642","-2.24198406"," 1.00341371"," 1.36579174"," 1.41463653"," 1.40438185"," 1.30653438"," 1.00865213"," 1.43234452"," 0.58044707","-1.21931310"," 1.84890427"," 1.48720122"," 0.79792331"," 1.18632177"," 0.95187155"," 1.88060673"," 0.87454990"," 0.65039061"," 1.18172033"," 1.71612019"," 1.09062390"," 1.07070322"," 1.20500936"," 0.81906199","-3.13521532","-1.11191512"," 1.46209377"," 1.17685446"," 1.10775639"," 1.10775639"," 0.86837702"," 1.30653438","-1.86192087"," 0.77166600"," 1.38638568"," 0.70285820"," 0.91936948"," 0.70285820"," 0.81906199"," 1.03793575"," 0.82610885"," 0.73012068"," 1.07070322"," 0.59912436"," 1.12434767"," 0.68055508","-0.69443276","-1.22406744","-2.47032347","-0.25378677"," 0.56534852","-3.17837579","-1.20294245","-1.04173448"," 1.22016257"," 1.14358667"," 1.26447766"," 1.36857339"," 2.27784564","-2.41098204"," 0.74634302"," 0.81906199"," 0.87454990"," 0.93562107"," 0.87915299"," 0.91936948"," 1.24341490","-2.68299212","-0.81526887","-1.69979921"," 0.80111600","-2.21388553","-3.57735307","-0.04213596","-0.89526528","-2.06371781","-0.89526528","-1.99749395"," 2.15177654","-2.25756591","-1.14723476","-1.54026095","-1.71218490"," 0.95719165","-1.53220944","-2.91575973","-0.66264168","-2.89018272","-2.07426748","-0.48096531","-2.33846384","-1.95262729","-0.81139870"
"Cer-HS d44:1+O; Cer-HS d18:1/26:0+O; [M+HCOO]-","-0.634674436","-2.067156089"," 1.909359983"," 2.253900988"," 2.223620340"," 2.013800115"," 2.156610035"," 1.762494812"," 2.339821540","-2.734830571"," 0.628142097"," 0.839834386"," 2.424274392","-3.775385365"," 1.676873951","-1.230588498"," 1.293368574"," 1.852680160","-1.206726792","-1.776305388"," 0.831014226","-3.577338022","-2.662076970","-2.767374781","-0.265166216"," 0.065174900","-0.930511925"," 2.081904450"," 2.079368963"," 1.901185601"," 1.927959736"," 1.905459027"," 2.081904450","-1.243820847","-0.856178426","-1.145947870"," 1.614062634","-3.282953307"," 0.690995488"," 1.634377436"," 1.960497392"," 1.486200740","-2.327865994","-3.038557200","-3.333776965"," 1.815747070","-3.305513290","-0.565497862"," 0.253610416","-1.098948552","-0.405627130"," 0.595664557","-0.068398368"," 0.124719375","-0.009938412"," 2.161197330"," 2.103919391"," 1.844333198"," 1.985379610","-0.118382377"," 1.166263440","-3.129857729","-1.322826721","-2.077186965"," 1.901185601"," 1.582596506","-2.128365253","-0.344713395","-1.005808846","-3.474545353","-4.010449232","-0.336697844","-0.133578542","-0.425254381"," 1.127361595"," 0.970516886"," 0.961021136"," 0.482637607"," 0.488210246"," 2.013800115"," 0.916312439"," 0.778341807","-0.381115220","-0.257894769"," 1.038857834","-1.847272239","-0.053341093","-0.161138000","-0.341223466"," 0.113177775","-1.979232538","-0.108270825","-0.912806867"," 0.801380583"
"Cer-NDS d20:0; Cer-NDS d9:0/11:0; [M+HCOO]-"," 1.54054912"," 1.44601571"," 1.45807458"," 1.73836182"," 1.89723250"," 1.82432878"," 1.73836182"," 1.42879006","-0.10137556","-0.11363411"," 1.50859892"," 0.55098724"," 0.26404105"," 1.00539689"," 0.74875626"," 1.11554020"," 0.84613976"," 1.00539689"," 0.09904206"," 0.45979127"," 1.41932257"," 1.64216861"," 1.66222545"," 0.27962557"," 1.25012358"," 1.04541414"," 1.13580193"," 1.03286636"," 1.72392361"," 0.98230761"," 0.95398330"," 1.49752757"," 1.96121187"," 1.36337645"," 0.58839774"," 1.46612042"," 0.35463506"," 1.34503320"," 0.92133598"," 0.77635626"," 1.67478290"," 1.39019847"," 1.31969322"," 1.20790489"," 1.78541136"," 1.40190089"," 1.51915625"," 1.26590572"," 1.07150078"," 1.56214439"," 1.07150078"," 1.41932257"," 1.34503320"," 1.30452840"," 1.77266678"," 2.00573577"," 1.79809946"," 0.32900938"," 0.89978426"," 0.67367757"," 2.26531615"," 2.05384758"," 0.47807525"," 1.78541136"," 1.56214439"," 1.07788243"," 1.07788243"," 1.56214439"," 1.94843786"," 1.91073302"," 1.84928540"," 1.64216861","-3.87721378","-4.25154130","-4.01484559","-3.74368164","-4.25154130","-4.26373382","-3.82344383","-4.37131930","-4.65111836","-3.74368164","-3.63689672","-4.30899893","-3.64572975","-4.67615056","-3.98896343","-4.18400578","-3.65175866","-4.01484559","-4.27617047","-4.17569332","-4.03310573","-4.30899893"
